  Average Equal Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199112,-3.19,0.03,1.57,2.66,4.89,3.4,5.13,7.07,5.36,12.76,4.64,7.38,5.46,7.86,12.73,4.09,6.83,9.11,8.37,16.64,6.35,8.03,10.56,14.2,15.3
199201,22.5,13.65,11.44,13.92,17.87,7.22,7.33,5.31,8.01,9.51,5.63,4.44,6.97,7.79,5.34,2.5,0.43,0.67,3.75,2.58,2.87,0.64,-1.47,-2.75,-0.03
199202,7.1,6.06,6.76,6.38,7.2,3.13,2.44,3.14,2.33,1.26,1.16,1.85,3.32,1.85,3.41,2.54,1.68,1.97,2.46,2.19,3.3,1.36,1.35,1.86,0.45
199203,-2.27,0.03,0.59,-1.28,-0.91,-5.05,-2.09,-0.77,-2.68,-6.3,-3.99,-2.86,0.11,-3.38,-4.22,-2.3,-3.11,-1.96,-1.06,-2.18,-3.55,-2.69,-2.15,-4.3,-3.48
199204,-4.9,-1.55,-2.84,-2.64,-3.46,-3.51,-3.75,-3.28,-3.71,-5.41,-3.29,-1.96,-1.05,-1.42,-4.21,-0.25,-1.02,0.77,-2.47,-2.8,3.1,3.18,1.75,1.08,-0.71
199205,1.26,1.81,1.3,1.45,1.82,1.95,-0.94,-0.62,1.24,-1.1,3.24,-0.1,0.57,1.32,1.09,1.74,0.8,1.31,0.15,-0.01,0.84,0.11,1.12,0.11,1.05
199206,-3.99,-1.79,-1.68,-1.46,-2.55,-6.67,-3.37,-2.23,-1.27,-4.31,-2.9,-2.01,-1.23,-3.46,-3.69,-1.61,-2.62,-1.89,-3.13,-3.02,-2.91,-0.71,-0.58,-0.68,-2.98
199207,1.86,1.31,3.21,3.25,2.83,2.28,2.81,3.79,2.59,4.88,1.97,2.09,4.75,3.18,5.55,3.88,1.99,5.45,5.62,3.29,4.56,3.93,3.83,3.23,4.41
199208,-3.24,-1.94,-0.66,-0.75,-2.78,-2.22,-1.1,-1.95,-2.01,-3.29,-3.2,-2.55,-2.9,-1.65,-4.84,-1.9,-0.65,-0.46,-2.96,-3.85,-2.15,-0.82,-1.88,-2.13,-3.86
199209,-1.55,-0.09,-0.32,-0.13,1.29,-0.37,0.08,2.01,2.71,4.03,-1.11,-0.13,1.24,1.86,2.32,0.05,-0.99,1.34,1.28,3.13,-0.18,1.73,0.94,0.8,3.15
199210,-0.09,0.96,1.07,2.6,2.4,1.35,0.3,2.21,2.54,2.98,0.28,2.66,1.3,4.66,3.71,2.69,1.92,3.36,2.71,4.4,-0.69,1.77,1.53,1.17,4.08
199211,5.13,4.68,7.79,6.99,7.72,7,5.44,4.64,5.85,8.13,5.33,4.29,5.9,4.05,8.22,1.85,3.1,3.51,3.74,7.1,1.07,3.84,3.28,4.22,5.45
199212,5.57,3.39,6.07,6.14,11.92,0.52,3.53,4.73,4.51,5.11,2.06,2.02,2.93,7.13,5.35,2.33,2.11,2.98,4.29,5.38,0.1,2.24,1.79,1.5,3.88
199301,6.92,9.2,8.16,9.22,11.61,1.3,2.35,1.88,5.11,5.09,-1.67,1.21,2.44,3.01,3.72,-1.82,0.74,1.28,3.7,3.52,-1.31,0.21,1.35,2.57,5.78
199302,1.61,2.99,2.59,3.58,3.7,-3.55,-1.52,-1.3,-1.31,-0.32,-1.12,-1.29,0.9,-0.54,-1.21,-0.01,-0.59,-0.42,0.98,-0.62,-1.11,-0.5,2.55,1.6,0.43
199303,3.29,2.75,5.77,5.9,7.57,0.27,2.44,2.15,3.79,5.09,2.18,2.06,2.48,3.29,7.28,1.75,4.17,3.53,2.86,7.8,2.88,2.85,1.57,3.85,5.51
199304,0.38,0.47,1.74,3.13,5.78,-2.7,-1.79,-2.05,-1.61,-1.07,-2.69,-1,-0.53,-0.95,-4.25,-1.52,-1.26,-4.59,-2.33,-2.09,-1.61,-1.68,-1.96,-1.92,-3.48
199305,5.73,5.19,3.66,3.72,4.35,4.17,3.73,3.77,6.17,6.21,7.13,4.03,3.94,3.59,4.91,4.53,3.12,3.56,1.91,4.02,2.29,1.81,1.77,2.64,6.88
199306,1.21,4.02,2.23,2.28,7.37,-0.6,0.64,-1.16,1.64,2.17,-1.63,-0.76,0.73,3.59,2.97,-1.11,-0.82,2.16,2.26,3.07,-3.23,-0.67,0.83,2.43,3.78
199307,0.98,0.7,1.93,4.08,1.37,0.04,0.82,2.92,0.93,2.01,-0.42,-0.58,2.26,1.4,0.31,-1.85,-0.51,0.92,-0.57,2.33,-2.06,0.44,0.45,0.94,0.96
199308,1.65,2.66,3.79,3.49,2.94,3.76,2.39,3.01,2.84,6.11,2.55,3.15,2.94,3.36,6.29,3.66,2.65,3.67,3.59,7.1,3.62,3.18,3.77,4.83,7.38
199309,1.67,2.51,2,2.9,0.39,0.63,1.32,1.29,2.66,4.52,0.29,2.35,1.62,3,3.79,-2.93,-1.03,0.19,1.42,3.92,-1.83,-1.87,-0.23,0.98,2.03
199310,7.3,5.68,5.45,4.92,6.15,4.67,3.64,2.79,3.79,5.77,2.71,3.54,-0.14,2.97,2.34,3.75,0.64,1.71,2.32,-0.54,4.81,1.15,-0.24,1.39,2.12
199311,0.12,-1.16,-0.47,-1.2,-3.25,-1.15,-0.83,-2.07,-2.67,-5.93,0.51,-1.6,-2.85,-3.46,-4.31,1.27,-1.53,-3.03,-2.96,-5.5,1.4,-1.09,-2.47,-3.56,-4.67
199312,-0.89,1.52,2.16,2.68,3.19,2.21,2.91,0.76,2.58,2.45,2.3,1.71,5.12,4.78,5.59,3.08,4.1,3.93,4.78,4.16,1.39,2.55,2.23,4.08,4.06
199401,5.9,4.8,6.14,4.93,7.78,3.21,2.86,1.79,4.18,5.66,2.32,2.79,1.72,1.97,2.09,5.99,2.51,3.11,1.36,2.51,3.39,2.02,2.25,3.52,3.12
199402,-0.45,-1.36,1.45,-1.24,-0.46,-0.99,-0.54,-0.66,-1.24,-2.16,0.07,-0.29,-1.43,0.89,-1.7,0.02,-2.48,-1.05,-2.5,-0.51,-2.39,-2.2,-2.72,-2.04,-2.55
199403,-3.28,-1.96,-3.74,-2.11,-3.14,-4.86,-4.9,-5.53,-5.38,-6.45,-3.87,-3.89,-4.46,-4.22,-7.43,-4.64,-4.18,-4.81,-3.99,-5.9,-3.73,-3.74,-4.4,-5.5,-4.24
199404,-3.26,-1.44,-0.3,1.07,-0.87,-1.07,-1.23,0.55,-0.6,-1.14,-0.28,1.03,-0.47,0.01,0.22,-0.35,0.42,-0.29,0.21,1.73,1.08,1.92,0.75,-0.27,-0.87
199405,-0.46,-0.26,1.11,0.17,-1.03,1.6,0.99,-0.22,-1.49,-3.57,0.04,0.34,-0.2,-2.34,-3.05,0.79,-0.72,-0.68,-1.42,-1.41,0.73,0.8,1.6,1.19,-0.71
199406,-4.69,-1.86,-2.24,-1.17,-3.41,-3.71,-1.8,-2.33,-3.39,-5.81,-2.99,-0.61,-2.94,-3.07,-4.26,-1.88,-1.19,-3.11,-2.97,-6.3,-3.07,-3.47,-2.2,-2.33,-6.02
199407,0.45,1.24,-0.02,1.91,1.43,0.66,0.99,-0.7,2.36,2.37,2.04,1.68,2.07,2.58,2.47,3.44,2,3.63,3.09,3.55,4.87,2.46,3.24,3.27,1.95
199408,2.06,2.74,3.14,2.2,1.52,4.86,2.86,4,4.71,5.16,7.51,6.31,4.9,5.36,7.74,6.11,3.95,5.37,4.22,6.89,4.19,3.69,4.13,5.16,6.2
199409,1.91,1.38,2.28,1.99,3.5,1.55,1.4,0.46,0.39,1.14,-2.77,-1.41,-1.92,0.35,3.36,-2.21,-1.16,-0.84,-0.81,1.33,-2.52,-2.1,-2.45,-2.28,-1.03
199410,-1.54,-1.29,0.26,-0.8,0.16,-1.99,-0.69,-0.95,-0.64,2.44,-0.56,-1.86,-1.16,-1.24,1.31,-0.3,0.6,-0.23,0.74,1.67,1.79,2,0.69,0.65,0.81
199411,-6.57,-3.62,-3.91,-4.23,-5.18,-4.96,-5.01,-4.33,-3.34,-4.33,-4.81,-4.75,-3.49,-3.08,-4.29,-4.73,-4.42,-4.65,-5.79,-5.52,-2.27,-3.63,-4.27,-4.29,-4.54
199412,-4.47,-1.36,-1.34,-0.93,0.73,-0.55,1.32,2.37,1.53,3.83,-1.91,2.67,2.67,3.29,5.31,2.8,0.94,1.8,1.61,3.44,0.21,0.8,1.18,1.58,0.78
199501,3.32,2.42,1.85,1.25,1.24,-0.98,-0.78,-1.76,-0.96,0.4,-1.51,-1.15,-1.55,0.47,-3.03,1.74,1.11,-0.21,0.04,-3.3,3.02,2.78,2.19,1.45,-0.16
199502,2.02,3.32,1.97,3.83,3,2.79,3.29,3.35,3.13,3.26,4.31,4.52,1.92,2.74,5.7,5.71,5.13,4.18,5.17,6.08,4.73,5.02,4.16,3.75,4.48
199503,1.03,2.62,1.72,6.52,2.38,2.39,2.2,2.06,2.64,3.17,3.25,2.06,0.67,1.96,4.01,2.7,2.82,1.5,2.23,5.46,3.46,2.46,2.22,1.84,3.31
199504,3.94,3.48,3.77,4.83,4.62,2.26,2.8,3.2,3.05,5.27,2.64,2.7,2.93,1.62,1.05,2.38,2.54,1.17,0.83,2.62,0.05,2.06,1.4,1.61,2.6
199505,1.79,1.71,2.31,1.89,2.37,1.17,1.82,2.73,0.46,3.26,1.28,2.33,1.28,1.76,0.98,4.07,3.8,2.48,0.88,1.44,4.08,4.29,3.67,3.14,1.65
199506,4.15,3.74,4.84,4.51,8.21,4.35,3.39,3.75,5.02,10.18,2.24,2.46,4.13,4.41,9.66,3.35,2.22,2.24,3.59,7.69,3.18,0.52,0.99,2.62,7.73
199507,4.05,4.82,2.73,4.93,5.92,3.34,4.35,6.43,5.9,8.15,8.04,3.62,5.11,6.06,11.52,3.91,3.56,3.93,5.81,10.41,3.54,3.37,3.37,2.73,7.11
199508,4.02,4.41,4.41,4.43,6.21,0.8,3.06,2.66,3.95,3.38,0.49,3.78,1.72,1.54,1.31,0.54,2.21,1.36,1.58,-0.27,0.48,1.91,1.73,1.38,1.33
199509,1.72,3.67,3.15,2.99,4.21,0.75,1.74,2.15,1.61,3.99,-0.33,1.96,2.02,1.52,3.1,-0.89,1.7,1.7,2.77,3.95,2.06,2.09,2.78,3.61,3.37
199510,-6.94,-1.77,-2.65,-3.89,-5.66,-7.99,-2.84,-4.86,-3.75,-4.53,-7.73,-4.12,-2.5,-3.5,-4.61,-4.36,-1.34,-1.22,-2.01,-0.91,-2.76,-2.29,-0.66,-1.07,-1.57
199511,-1.16,0.26,2.13,0.9,3.79,2.63,2.68,5.15,3.26,5.94,2.41,5.04,4.23,4.72,4.28,6.66,2.88,3.98,6.47,4.47,7.04,5.87,4.1,4.91,3.24
199512,-0.56,1.89,1.76,2.41,3.4,1.36,3.48,3.69,4.45,4.04,4.56,2.53,2.68,2.3,2.77,-0.09,1.92,1.97,1.14,0.1,0.81,1.7,2.09,1.23,-2.42
199601,6.59,4.56,4.69,4.87,5.31,0.87,1.05,1.65,0.92,0.85,0.89,-0.07,-0.39,-0.12,-0.07,2.15,1.8,0.69,-0.5,-0.16,1.25,2.82,3.04,3.63,3.5
199602,5.15,4.44,4.14,3.9,7.5,2.53,2.39,3.26,3.49,4.17,3.99,3.55,1.55,3.04,6.04,1.74,1.93,1.28,2.34,4.07,1.22,-0.19,0.87,2.46,4.3
199603,5.63,4.04,3.82,3.36,4.95,2.86,1.8,1.96,4.03,3.02,2.12,2.28,0.91,3.21,1.64,2.12,1.17,1.5,2.65,4.93,3.38,1.56,1.06,1.8,-1.14
199604,6.63,5.51,4.34,7.58,10.23,5.53,4.2,5.82,6.18,10.97,5.93,2.31,2.41,2.98,9.42,5.34,1.73,2.04,2.8,7.49,5.18,1.88,0.29,0.91,4.87
199605,8.06,5.7,8.6,6.74,10.33,5.08,3.48,4.11,5.44,7.79,1.67,2.6,3.21,3.1,5.92,0.52,0.7,0.87,2.7,3.37,0.76,2.11,0.86,1.73,4.2
199606,-4.53,-0.94,-1.97,-3.99,-7.51,-2.9,-2.32,-2.54,-3.5,-5.5,-4.24,-2.19,-2.65,-2.46,-6.51,-3.36,-0.53,0.28,-1.84,-4.53,-1.87,-0.72,-0.42,-0.43,-4.72
199607,-7.56,-4.63,-5.51,-4.88,-9.13,-9.41,-6.21,-7.98,-5.86,-11.74,-7.69,-5.31,-5.82,-7.04,-11.15,-7.82,-4.58,-5.23,-5.09,-7.99,-7.54,-4.63,-4.09,-4.55,-8.61
199608,4.64,4.52,4.3,4.38,7.85,3.92,5.36,3.54,5.56,8.41,5.71,5.56,5.43,5.75,9,5.52,5.08,4.64,5.66,6.35,4.26,3.99,3.47,3.16,4.8
199609,2.12,2.38,3.6,3.27,3.92,2.09,3.58,3.86,3,5.47,2.85,3.38,2.83,3.02,6.94,2.65,3.94,2.8,3.58,7.83,5.3,4.14,5.06,4.34,7.84
199610,-3.15,1.26,0.79,0.02,0.26,-2.28,-0.43,1.13,0.68,-1.19,-2.6,1.33,2.08,-0.75,-2.58,-0.84,2,3.49,0.33,-1.71,-4.13,2.06,2.62,3.82,0.51
199611,1.58,3.71,1.13,2.68,3.12,5.75,5.3,2.81,2.88,1.41,6.21,2.37,5.62,4.63,1.39,5.95,5.12,5.93,6.46,2.2,10.54,6.16,7.52,6.84,4.59
199612,-3.02,1.06,1.54,2.31,2.14,-1.31,3.84,2.76,4.26,2.16,0.7,2.09,1.96,2.29,1.4,-0.24,0.17,0.83,0.44,0.21,-1.92,-0.51,-1.47,-2.79,-1.69
199701,9.54,7.01,5.56,7.19,9.76,3.58,3.41,4.48,0.84,4.14,3.34,2.6,2.14,3.17,3.66,1.8,2.15,2.93,2.17,1.71,2.37,2.14,3.76,6.58,6.25
199702,-0.8,1.19,1.88,1.68,1.15,-2.8,0.11,1.02,-0.8,-4.19,-0.48,-1.31,0.48,-0.35,-7.34,-0.67,1.61,1.17,0.72,-6.39,0.67,1.3,1.54,0.19,-4.66
199703,-6.95,-2.84,-3.17,-3.96,-5.89,-7.51,-4.39,-4.04,-3.82,-4.53,-6.72,-3.72,-3.97,-3.61,-5.82,-6.44,-4.22,-3.72,-4.97,-3.85,-4.87,-3.54,-3.7,-3.97,-4.23
199704,-5.97,-2.18,-1.68,-2.28,-3.43,-4.87,-1.83,0.04,-1.7,-1.11,-0.6,2.38,-0.36,-0.52,0.2,-1.33,1.03,0.99,1.73,3.77,-0.1,1.62,3.22,4.8,6.25
199705,8.86,7,6.06,7.32,7.58,18.01,10.64,9.92,10.95,12.42,15.81,10.3,8.71,12.17,10.29,11.67,6.12,7.34,7.45,8.33,11.82,7.66,6.64,6.11,6.12
199706,0.04,3.75,4.75,4.39,1.65,4.33,6.11,6.23,9.22,7.99,5.38,4.83,4.55,4.77,5.92,2.85,2.26,4.2,4.1,6.16,1.57,2.42,3.26,4.24,4.13
199707,2.63,3.98,5.55,5.32,5.28,2.81,3.24,5.2,4.85,7.69,2.62,5.7,5.49,7.43,9.35,4.93,5.25,6.02,8.7,10.37,5.05,6.9,7.43,8.28,13.3
199708,3.94,2.8,6.06,4.83,4.8,2.9,2.84,2.61,1.8,4.65,2.87,1.92,2.09,1.04,2.1,1.74,-0.51,-0.78,-0.49,0.6,-2.06,-3.01,-3.82,-3.57,-3.54
199709,8.27,8.69,9.34,9.34,10.83,7.29,7.25,7.47,7.54,11.33,6.74,6.68,7.38,10.46,8.1,3.44,4.14,5.11,9.17,9.7,4.13,5.02,4.82,5.54,7.66
199710,-3.86,-0.82,0.05,0.19,-0.31,-6.41,-2.2,-2.64,-1.23,-5.28,-5.06,-3.57,-3.64,-1.77,-6.64,-5.36,-3.7,-3.99,-2.77,-4.92,-4.49,-1.85,-3.89,-3.18,-4.92
199711,-8.67,-2.38,-0.94,-0.61,-2.62,-5.07,-1.32,0,0.17,-1.48,-3.21,-0.24,-2.05,-1.02,-4.29,-1.78,0.94,1.97,1.31,-2.64,2.12,4,3.22,3.1,1.01
199712,-7.23,-2.42,-0.93,1.17,-0.6,-3.75,2.39,2.39,2.89,1.02,-1.13,1.62,1.23,4.42,1.46,-1.44,1.76,3.73,4.58,4.54,1.15,2.37,2.35,4.56,2.87
199801,1.91,-0.54,-1.5,-1.06,-1.55,-0.68,-0.03,-2.4,-1.24,-1.66,0.31,-0.23,-1.69,-1.39,-2.1,-0.96,-1.66,-0.49,-2.49,-1.76,0.81,-2.54,-0.39,-1.29,-1.11
199802,6.13,4.39,5.42,5.14,6.35,8.73,7.37,6.39,6.49,8.39,7.88,7.76,10.07,7.63,7.64,8.57,8.31,7.2,7.3,9.49,6.78,7.88,8.11,7.52,8.48
199803,3.16,4.61,5.17,6.34,6.44,5.54,4.48,6.68,5.2,6.14,3.86,4.51,5.1,3.09,5.01,3.13,5.88,4.7,4.45,5.27,4.61,5.1,5.59,5.28,6.39
199804,3.52,3.02,2.8,2.56,2.71,2.28,0.96,2.47,0.92,1.18,0.84,-0.31,0.22,0.89,2.18,2.08,0.74,-1.03,-0.16,0.79,-0.06,0.05,0.88,1,2.29
199805,-4.39,-2.75,-2.52,-3.43,-2.54,-7.83,-4.03,-5.39,-3.67,-5.91,-7.42,-4.69,-3.6,-4.16,-6.86,-5.37,-3.76,-3.7,-3.46,-4.94,-5.24,-2.59,-1.68,-1.92,-1.63
199806,-7.38,-4.31,-3.63,-2.43,-3.33,-5.19,-2.66,0.01,-1.16,3.91,-4.85,-2.07,2.04,0.56,5.15,-5.34,-1.48,1.35,2.76,4.5,-1.36,0.02,1.44,3.48,9.26
199807,-8.69,-4.64,-5.04,-2.41,-5.05,-10.67,-7.27,-6.79,-6.13,-5.25,-10.51,-8.13,-6.67,-6.43,-6.88,-8.42,-5.8,-7.03,-4.66,-3.87,-5.72,-3.06,-3.35,-2.79,-0.46
199808,-22.91,-17.54,-16.45,-18.01,-21.36,-23.8,-17.78,-17.1,-16.57,-23,-22.68,-17.75,-16.38,-17.62,-22.11,-22.33,-18.61,-16.07,-16.45,-19.11,-14.23,-14.71,-16.5,-13.84,-17.43
199809,5,3.47,2.33,3.76,6.47,6.73,5.46,5.41,8.79,11.32,7.83,4.23,4.68,4.81,8.53,11.36,5.42,4.85,4.62,8.38,11.72,5.1,3.02,4.93,8.65
199810,2.63,0.76,0.21,0.97,1.48,8.49,5.53,4.03,4.08,3.33,8.59,6.6,3.45,3.06,2.15,11.81,7.42,7.29,7.1,1.15,10.09,8.47,10.83,8.01,4.54
199811,6.3,6.16,6.5,4.85,10.06,3.44,4.77,5.04,4.88,7.9,3.31,4.01,5.28,5.1,8.81,1.98,5.06,5.28,3.77,8.46,8.74,5.42,3.68,4.86,5.61
199812,-1.93,1.86,3.06,2.89,6.22,2.21,5.85,5.73,6.38,10.32,3.03,6.26,6.38,7.07,12.48,-1.15,3.09,3.45,8.02,10.62,-3.19,0.15,3.24,5.4,14.38
199901,9.95,4.17,3.32,6.98,9.22,-0.7,-0.17,-2.52,-2.18,5.62,-2.29,-3.96,-2.77,-2.66,9.21,-2.37,-1.32,-2.93,-0.53,10.51,-0.27,-1.19,0.06,2.51,9.73
199902,-4.92,-3.39,-4.17,-4.34,-2.53,-8.49,-8.34,-8.44,-8.06,-6.5,-4.61,-6.21,-6.1,-6.56,-5.96,-2.15,-2.19,-3.73,-4.18,-6.57,-2.79,-0.84,-1.96,-3.56,-2.52
199903,-0.11,-3.34,-2.27,-3.15,4.51,0.68,-0.55,-0.85,-3.22,5.29,4.99,-1.72,1.4,1.06,8.67,4.8,1.14,-1.5,2.99,9.27,8.7,2.76,1.95,1.27,5.61
199904,11.38,7.65,7.47,9.43,15.46,11.6,5.79,5.88,3.43,10.73,13.65,11.32,5.72,4.57,3.46,15.95,10.07,7.22,3.57,9.08,11.64,10.52,9.81,4.44,1.9
199905,5.28,2.92,2.5,3.24,2.41,4.34,3.44,2.07,3.47,0.43,1.95,1.58,0.79,-0.28,0.25,-1.8,0.17,0.32,0.7,0.38,1.74,-0.56,-0.26,-2.35,-3.79
199906,1.35,3.17,5.58,4.77,0.97,5.38,4.71,5.83,9.26,11.46,3.94,3.76,5.12,7.29,9.78,2.54,2.08,3.35,5,7.11,-0.79,-0.05,0.64,4.33,8.29
199907,1.3,1.14,1.96,1.08,0.89,-2.64,-1.41,-0.96,-0.69,-1.11,-2.18,-0.47,-1.49,1.47,-0.63,-5.25,-3.35,-2.94,-1.41,0.12,-5.42,-3.94,-4.54,-2.33,-2.48
199908,-2.4,-0.65,-1.68,0.91,-1.01,-4.33,-2.56,-2.12,-1.62,-1.37,-5.57,-3.74,-4.47,-2.16,0.87,-5.86,-3.05,-4.6,-3.02,1.76,-2.08,-2.68,-1.47,-2.72,-0.22
199909,-0.36,-1.8,0.56,0.24,3,-1.83,0.36,-1.32,1.51,2.69,-3.76,-3.9,0.48,1.65,4.16,-5.5,-6.23,-1.73,-4.13,0.02,-8.08,-6.37,-2.67,-1.9,2.49
199910,-4.21,-2.09,-1.31,-1.59,1.06,-3.39,-0.85,-1.61,-2.33,5.88,-1.35,0.34,-1.39,-0.18,7.3,1.36,1.97,1.69,3.03,13.28,2.49,8.48,3.58,7.85,9.2
199911,5.06,3.94,4.7,7.89,16.06,4.3,0.61,3.74,4.16,18.74,1.8,-0.63,0.27,2.85,12.87,0.41,-0.16,0.05,2.39,15.02,-2.69,-3.7,-2.1,2.42,15.02
199912,7.53,4.76,6.95,10.62,19.28,6.18,2.79,6.72,8.86,25.88,2.87,2.63,6.22,10.1,19.8,0.82,-0.35,7.36,11.84,25.21,-2.48,-2.18,-0.07,8.63,21.79
200001,10.62,3.86,4.48,10.29,15.88,-6.2,-4.67,-3.11,1.21,3.03,-4.93,-5.09,-4.15,-2.85,2.71,-5.04,-5.76,-7.04,-6.58,1.22,-3.66,-4.34,-4.1,-5.15,2.7
200002,13.25,9.83,17.94,23.88,29.66,2.2,3.89,5.06,13.39,40.56,-6.27,-3.97,1.55,11.23,37.59,-7.38,-5.16,-4.3,3.44,32.07,-9.02,-6.38,-5.81,0.11,34.52
200003,0.9,0.37,0.37,2.73,-0.49,8.22,2.39,3.69,0.09,-9.96,13.03,13.66,8.85,2.31,-14.15,11.45,12.01,9.29,4.74,-12.12,12.21,12.49,9.54,3.53,-8.79
200004,-7.81,-3.01,-4.13,-10.54,-20.89,-0.84,1.82,1.64,-4.72,-20.59,-3.47,-0.01,0.26,-6.96,-13.15,2.04,3.75,-0.42,-8.24,-7.72,2.12,-0.65,-1.89,-4.34,-10.78
200005,-6.46,-2.24,-1.69,-4.66,-14.12,-0.04,1.17,-0.25,-2.12,-13.32,1.61,2.83,0.56,-1.89,-10.08,4.73,1.45,1.48,-1.09,-11.05,4.61,4.19,2.1,-7.15,-13.37
200006,3.31,3.01,4.84,10.47,22.55,1.69,0.29,1.98,9.01,29.94,-3.35,0.1,-0.88,4.19,23.28,-6.61,-4.07,-1.01,4.59,17.42,-9.3,-4.57,-0.27,6.21,15.99
200007,-1.69,-0.19,-0.35,-1.86,-4.45,0.73,1.13,0.59,-3.42,-12.92,1.1,0.54,3.44,-4.81,-11.66,0.42,3.52,1.7,0.89,-8.19,-1.55,-0.33,0.53,-1.03,-4.89
200008,3.73,3.8,5.42,8.47,12.08,5.15,5.43,7.8,8.38,17.03,4.98,3.93,6.85,11.09,15.18,8.25,6.57,6.42,7.29,21.78,4.77,4.49,6.22,9.01,19.2
200009,-5,0.31,-0.55,-1.19,-4.27,-7.98,-0.05,-2.19,-1.91,-5.09,-4.7,0.23,-0.35,-4.59,-4.85,-5.28,1.63,0.35,-5.47,-1.89,-1.57,1.4,0.21,-1.86,-6.72
200010,-8.1,-4.72,-5.24,-8.44,-11.29,-6.32,0.1,-2.65,-4.95,-10.38,-3.47,-0.08,-2.04,0.57,-6.8,4.15,2.57,-3.16,-1.63,-8.62,5.15,2.71,0.08,-0.7,-13.52
